Brand,model,Year,Age,kmDriven,Transmission,Owner,FuelType,AskPrice
12,84,2001,23,98000.0,1,1,2,195000
36,187,2009,15,190000.0,1,1,0,375000
37,347,2010,14,77246.0,1,0,0,184999
23,317,2017,7,83500.0,1,1,0,565000
23,52,2019,5,45000.0,0,0,2,685000
4,366,2014,10,83000.0,0,0,0,1350000
36,187,2014,10,168000.0,1,1,0,1025000
4,11,2019,5,25000.0,0,1,0,5950000
23,398,2020,4,33759.0,1,1,2,622000
11,115,2017,7,69713.0,1,1,2,649000
23,41,2018,6,70000.0,0,0,2,395000
18,75,2021,3,25000.0,0,0,0,2900000
23,319,2012,12,72700.0,1,1,2,240000
36,96,2007,17,121931.0,0,1,2,201350
25,155,2021,3,32000.0,0,1,2,11800000
13,384,2018,6,130000.0,1,1,0,330000
18,302,2020,4,68000.0,1,0,0,1045000
23,123,2016,8,65000.0,1,1,0,785000
23,123,2017,7,59000.0,0,1,2,555000
4,8,2015,9,61000.0,0,1,0,1500000
11,120,2019,5,77000.0,0,1,0,2399000
36,188,2017,7,107000.0,0,0,0,1325000
12,84,2010,14,99000.0,1,0,2,295000
3,22,2015,9,42000.0,0,1,0,1050000
31,197,2019,5,48073.0,0,1,2,355000
21,174,2019,5,32618.0,0,0,2,1250000
23,319,2012,12,70000.0,1,1,0,315000
23,80,2014,10,51000.0,0,1,2,345000
23,356,2018,6,137000.0,1,0,0,845000
36,4,2023,1,1996.0,0,0,0,4195000
36,188,2017,7,90000.0,1,1,0,1950000
36,187,2011,13,84000.0,1,1,0,490000
38,286,2018,6,53000.0,0,0,0,2950000
13,349,2021,3,17000.0,1,0,2,685000
23,123,2018,6,70000.0,1,1,2,749000
13,100,2023,1,5000.0,0,0,2,1600000
13,36,2022,2,47110.0,1,1,0,1695000
13,394,2019,5,35000.0,1,0,2,585000
25,112,2019,5,101570.0,0,0,0,4200000
37,253,2021,3,42000.0,1,1,2,675000
23,52,2018,6,30000.0,1,1,2,630000
13,352,2016,8,82100.0,1,1,0,465000
3,24,2012,12,90000.0,0,1,0,899000
36,140,2011,13,193000.0,1,1,0,1125000
25,65,2015,9,65000.0,0,0,0,1750000
13,100,2022,2,30000.0,0,1,2,1690000
23,319,2020,4,94856.0,1,0,2,690000
33,201,2023,1,12000.0,0,0,2,1800000
23,83,2018,6,0.0,1,0,2,500000
35,290,2010,14,500000.0,1,0,0,800000
36,188,2018,6,118000.0,0,0,0,1795000
25,65,2016,8,41000.0,0,1,2,2000000
12,84,2010,14,79000.0,1,1,2,290000
12,51,2016,8,103001.0,1,1,0,555555
13,100,2017,7,70000.0,1,1,2,765000
31,109,2018,6,130000.0,1,0,0,690000
23,361,2011,13,78000.0,1,1,2,225000
36,140,2017,7,115000.0,0,1,0,2390000
22,59,2017,7,160000.0,1,1,0,550000
13,122,2017,7,27000.0,1,1,2,300000
21,175,2020,4,81600.0,0,0,2,1021000
13,100,2017,7,54000.0,0,0,2,811000
22,382,2018,6,76000.0,1,0,0,1125000
25,157,2014,10,86000.0,0,0,0,3000000
13,393,2011,13,65000.0,1,1,2,115000
25,150,2018,6,60000.0,0,1,0,1450000
18,74,2023,1,24000.0,1,0,2,1225000
